weather,hour,dayofweek,count(1)
normal,11,0,2538712
normal,18,2,3592359
normal,4,2,375700
rain,1,2,70954
snow,11,0,17559
snow,16,2,13990
fog,17,0,202660
rain,15,6,84552
snow,12,4,45185
snow,17,3,42921
normal,19,1,3920428
rain,1,6,174255
fog,19,3,263099
fog,1,6,269413
fog,4,4,53603
normal,19,6,3002768
fog,11,3,305901
fog,23,5,25738
snow,3,2,5370
snow,11,1,60816
normal,12,2,2938041
normal,16,0,2465695
snow,16,6,33747
snow,13,6,25490
snow,7,3,32924
rain,10,5,149297
rain,9,1,204704
fog,20,1,205691
snow,5,1,16620
snow,8,3,64248
rain,20,1,242952
rain,12,5,149582
normal,14,2,3006408
fog,0,3,189906
fog,13,4,173374
fog,20,5,175342
rain,7,3,110418
rain,15,3,94224
fog,3,5,136296
rain,7,1,202576
rain,1,3,70957
rain,22,0,192309
snow,2,4,16028
fog,13,6,147669
normal,15,1,2870591
normal,1,1,848807
fog,9,1,239799
normal,22,5,3749225
snow,21,6,49844
fog,4,5,82615
fog,15,5,112137
normal,13,2,2833491
snow,1,5,28298
normal,4,1,334211
normal,19,4,4112910
snow,0,4,54971
fog,12,5,180965
snow,19,6,39387
fog,2,2,74875
normal,6,0,1352142
normal,5,0,555813
rain,15,5,245991
rain,18,1,324705
snow,15,3,16746
snow,17,1,17212
rain,19,0,191113
snow,5,4,6102
normal,7,6,798396
snow,13,5,135288
rain,0,6,197051
normal,6,6,652272
snow,21,5,63588
normal,19,3,3856349
normal,19,2,3986617
normal,20,4,3860737
fog,18,0,272078
snow,8,0,43801
snow,15,0,51091
rain,6,1,77987
rain,11,5,181883
rain,9,4,170111
normal,10,3,2779636
fog,10,6,170273
fog,8,0,304509
normal,15,0,2689340
normal,6,1,1453879
normal,13,0,2639948
normal,8,4,3117179
fog,22,5,185301
rain,11,1,127899
normal,17,1,3092360
snow,7,4,67010
snow,16,0,22712
rain,19,2,248318
rain,20,4,248592
rain,12,1,193886
snow,13,4,21093
rain,16,4,127940
rain,6,6,9692
normal,12,3,2884997
normal,12,4,2940505
snow,6,6,4205
fog,1,2,87896
normal,20,6,2719499
rain,4,5,76614
rain,3,1,27557
normal,0,2,1700623
snow,6,0,23346
fog,18,2,248023
snow,18,3,58324
normal,2,5,2451491
snow,5,6,3811
fog,17,4,224021
rain,2,6,81874
normal,7,2,2645304
fog,23,4,24425
snow,4,2,2642
normal,13,1,2751208
normal,5,1,550517
snow,17,0,51535
rain,16,1,97438
normal,17,6,2912158
normal,0,5,3588862
rain,21,6,121073
fog,6,4,165141
rain,16,3,88392
rain,4,0,16510
fog,18,3,341219
snow,12,3,42455
fog,4,1,43512
snow,22,4,14915
fog,8,6,127767
fog,23,3,27223
rain,11,4,155768
normal,10,1,2694167
normal,1,0,814746
snow,0,5,34160
fog,21,3,437499
normal,15,5,2983320
snow,15,5,143528
snow,19,2,55018
fog,10,3,302097
rain,22,2,149694
rain,17,6,79872
rain,16,0,149746
rain,6,4,59635
rain,9,5,112235
normal,7,3,2578105
snow,16,4,31676
fog,20,2,283533
normal,16,5,2705910
fog,7,2,424389
rain,16,2,213086
snow,2,6,49129
normal,18,5,3627020
normal,14,5,3082718
rain,12,4,154103
snow,14,2,20974
fog,14,6,149967
fog,6,2,205543
normal,21,5,3378676
snow,3,0,8573
rain,10,4,188083
fog,1,1,61015
